,Wind Farm,Region,Power per Turbine (MW),No. Turbines Installed,Installed Capacity (MW),Year Online,Developer,Operator,Owner,Country,lat,long,Wind Farm count,Turbine Manufacturer,Turbine Model,State
97,Royd Moor,South Yorkshire,0.5,13,6.5,1993,E.ON UK Renewables,B9 Energy,E.ON Renewables,England,53.53194,-1.66944,1,Bonus,M1500-500,United Kingdom
98,Great Eppleton Repowering,Tyne & Wear,2.05,4,8.2,2010,E.ON UK Renewables,not reported,E.ON Renewables,England,54.83306,-1.42944,1,REPower,MM92,United Kingdom
99,Nissan Motors Plant,Tyne & Wear,0.66,6,3.96,2005,Nissan,Nissan,Nissan,England,54.92,-1.46806,1,Vestas,V47,United Kingdom
100,Hazlehead,West Yorkshire,2.05,3,6.15,2011,Banks Group,not reported,Banks Group,England,53.534306,-1.73075,1,REpower,MM82,United Kingdom
101,Hook Moor,West Yorkshire,2.05,5,10.25,2015,Banks Group,not reported,Banks Group,England,53.808694,-1.330306,1,Senvion,MM92,United Kingdom
102,Ovenden Moor,West Yorkshire,2.5,9,22.5,1993,E.ON UK Renewables,E.ON Renewables,Yorkshire Wind Power Ltd,England,53.77417,-1.93472,1,Vestas,WD34,United Kingdom
103,Garves Mountain/Dunloy,Antrim,3,5,15,2009,Your Energy,Engineering Renewables,Garves Wind Farm Ltd,Northern Ireland,55.26611,-6.443222,1,Vestas,V90,United Kingdom
104,Corkey,County Antrim,0.5,10,5,1994,RES Ltd and B9 Energy,B9 Energy,Scottish Power,Northern Ireland,55.03333,-6.25667,1,Nordtank,NTK500,United Kingdom
105,Elliot's Hill,County Antrim,0.5,10,5,1995,RES Ltd and B9 Energy,B9 Energy,Scottish Power,Northern Ireland,54.85,-6.06,1,Vestas,V39,United Kingdom
106,Gruig,County Antrim,2.5,10,25,2009,RES UK & Ireland Ltd,not reported,not reported,Northern Ireland,55.02556,-6.24944,1,Nordex,N80,United Kingdom
107,Wolf Bog,County Antrim,2,5,10,2007,RES UK & Ireland Ltd,B9 Energy,Scottish Power,Northern Ireland,54.80306,-6.09417,1,Vestas,V80,United Kingdom
108,Callagheen,County Fermanagh,1.3,13,16.9,2005,RES Ltd and B9 Energy,B9 Energy,Scottish Power,Northern Ireland,54.43833,-8.00833,1,Siemens,SWT-1.3,United Kingdom
109,Slieve Rushen Repowering,County Fermanagh,3,18,54,2008,Sean Quinn Group,not reported,not reported,Northern Ireland,54.16,-7.62,1,Vestas,V90,United Kingdom
110,Tappaghan Mountain,County Fermanagh,1.5,13,19.5,2005,Airtricity,GE Wind,Airtricity,Northern Ireland,54.54806,-7.55389,1,GE,1.5s,United Kingdom
111,Tappaghan Mountain Extension,County Fermanagh,1.5,6,9,2009,SSE Renewables,not reported,not reported,Northern Ireland,54.54806,-7.55389,1,GE,1.5s,United Kingdom
112,Altahullion Phase I,County Londonderry,1.3,20,26,2003,RES Ltd and B9 Energy,B9 Energy,RES-GEN,Northern Ireland,54.96,-7.03167,1,Bonus,B1300,United Kingdom
113,Altahullion Phase II,County Londonderry,1.3,9,11.7,2007,RES UK & Ireland Ltd,B9 Energy,RES-GEN,Northern Ireland,54.96056,-7.03278,1,Siemens,SWT-1.3,United Kingdom
114,Rigged Hill,County Londonderry,0.5,10,5,1995,RES Ltd and B9 Energy,B9 Energy,Scottish Power,Northern Ireland,55.02167,-6.82028,1,Nordtank,NTK500,United Kingdom
115,Bessy Bell,County Tyrone,0.5,10,5,1995,Column Energy,B9 Energy,E.ON Renewables,Northern Ireland,54.68,-7.40333,1,Vestas,V39,United Kingdom
116,Bessy Bell Extension,County Tyrone,1.5,6,9,2008,Airtricity,not reported,Airtricity,Northern Ireland,54.7225,-7.37472,1,GE,1.5s,United Kingdom
117,Bin Mountain,County Tyrone,1.5,6,9,2007,Airtricity,Airtricity,Airtricity,Northern Ireland,54.705,-7.59111,1,GE,1.5s,United Kingdom
118,Hunter's Hill,County Tyrone,2.5,8,20,2010,RES UK & Ireland Ltd,B9 Energy,ESB Group,Northern Ireland,54.45028,-7.30694,1,Nordex,N80,United Kingdom
119,Lendrum's Bridge Phase I,County Tyrone,0.66,9,5.94,2000,RES Ltd and B9 Energy,B9 Energy,RES,Northern Ireland,54.43667,-7.345,1,Vestas,V47,United Kingdom
120,Lendrum's Bridge Phase II,County Tyrone,0.66,11,7.3,2002,RES Ltd and B9 Energy,B9 Energy,RES,Northern Ireland,54.43667,-7.345,1,Vestas,V47,United Kingdom
121,Lough Hill Resubmission,County Tyrone,1.3,6,7.8,2007,RES Ltd and B9 Energy,not reported,RES-GEN,Northern Ireland,54.62694,-7.60583,1,Siemens,SWT-1.3,United Kingdom
122,Owenreagh,County Tyrone,0.5,10,5,1997,EF Energy,South Western Services,South Western Services,Northern Ireland,54.80833,-7.33167,1,Zond,Z40,United Kingdom
123,Owenreagh Extension,County Tyrone,0.85,6,5.1,2008,EF Energy,South Western Services,South Western Services,Northern Ireland,54.80833,-7.33167,1,Vestas,V52,United Kingdom
124,Slieve Divena 1,County Tyrone,2.5,12,30,2009,RES UK & Ireland Ltd,SSE Renewables,SSE Renewables,Northern Ireland,54.5075,-7.10528,1,Nordex,N80,United Kingdom
